file_nm,cik,entity_name
CIK0000316028.json,316028,KENT FINANCIAL SERVICES INC
CIK0001622879.json,1622879,"MEDICINE MAN TECHNOLOGIES, INC."
CIK0001048286.json,1048286,MARRIOTT INTERNATIONAL INC /MD/
CIK0001240581.json,1240581,CLIFTON SAVINGS BANCORP INC
CIK0001567860.json,1567860,"TOSHOAN HOLDINGS, INC."
CIK0001178552.json,1178552,"BODISEN BIOTECH, INC"
CIK0001440172.json,1440172,BLUFOREST INC.
CIK0001416712.json,1416712,"IRON MINING GROUP, INC."
CIK0001497055.json,1497055,"GROGENESIS, INC."
CIK0001421461.json,1421461,"INTREPID POTASH, INC."
CIK0000806592.json,806592,"SUNWIN STEVIA INTERNATIONAL, INC."
CIK0001328581.json,1328581,Boise Cascade Company
CIK0001076784.json,1076784,"DBUB GROUP, INC"
CIK0001010552.json,1010552,POLYCOM INC
CIK0001679082.json,1679082,Myovant Sciences Ltd.
CIK0001528172.json,1528172,"ENDONOVO THERAPEUTICS, INC."
CIK0001136352.json,1136352,Crestwood Equity Partners LP
CIK0000310056.json,310056,VICON INDUSTRIES INC /NY/
CIK0001036030.json,1036030,WAYNE SAVINGS BANCSHARES INC /DE/
CIK0001088034.json,1088034,"Usio, Inc."
CIK0001818874.json,1818874,"SoFi Technologies, Inc."
CIK0001071411.json,1071411,"FUSION CONNECT, INC."
CIK0001541401.json,1541401,"EMPIRE STATE REALTY TRUST, INC."
CIK0000060751.json,60751,LUBRIZOL CORP
CIK0001310157.json,1310157,FSP GALLERIA NORTH CORP
CIK0001017413.json,1017413,CANADIAN NATURAL RESOURCES LIMITED
CIK0001267426.json,1267426,BCTC V ASSIGNOR CORP.
CIK0001091491.json,1091491,HCSB FINANCIAL CORP
CIK0001851266.json,0001851266,LF Capital Acquisition Corp. II
CIK0001599407.json,1599407,1847 HOLDINGS LLC
CIK0001620393.json,1620393,"NexPoint Residential Trust, Inc."
CIK0001310383.json,1310383,"SUMMIT HEALTHCARE REIT, INC."
CIK0001644482.json,1644482,"NEW BANCORP, INC."
CIK0000709337.json,709337,FARMERS NATIONAL BANC CORP.
CIK0001588216.json,1588216,"RSP PERMIAN, INC."
CIK0001095981.json,1095981,"PLUS THERAPEUTICS, INC."
CIK0000700815.json,700815,ADINO ENERGY CORP
CIK0001475841.json,1475841,NATIONAL BANK HOLDINGS CORP
CIK0001094739.json,1094739,FINISAR CORP
CIK0001652106.json,1652106,"PB BANCORP, INC."
CIK0000890394.json,890394,PERASO INC.
CIK0001565220.json,1565220,FV PHARMA INTERNATIONAL CORP.
CIK0001373707.json,1373707,TETRAPHASE PHARMACEUTICALS INC
CIK0001580276.json,1580276,"FRAUD PROTECTION NETWORK, INC."
CIK0001511161.json,1511161,ASTIKA HOLDINGS INC.
CIK0001866816.json,1866816,OMNILIT ACQUISITION CORP.
CIK0001478320.json,1478320,ADAPTIVE BIOTECHNOLOGIES CORPORATION
CIK0001501862.json,1501862,"EMPIRE GLOBAL GAMING, INC."
CIK0000928576.json,928576,MIDAMERICAN ENERGY COMPANY
CIK0001386301.json,1386301,"RESEARCH SOLUTIONS, INC."
CIK0000095029.json,95029,"STURM, RUGER & COMPANY, INC."
CIK0001598646.json,1598646,"Minerva Neurosciences, Inc."
CIK0001530796.json,1530796,"MILAGRO OIL & GAS, INC."
CIK0001432133.json,1432133,"Kaltura, Inc."
CIK0000029440.json,0000029440,
CIK0001453420.json,1453420,"ECHO AUTOMOTIVE, INC."
CIK0001820630.json,1820630,Proterra Inc
CIK0000795307.json,0000795307,
CIK0000723733.json,723733,"MULTI SOLUTIONS II, INC"
CIK0001514226.json,1514226,"DELTA TUCKER HOLDINGS, INC."
CIK0001159464.json,1159464,GREEN POLKADOT BOX INC
CIK0001375796.json,1375796,"TELARIA, INC."
CIK0000769520.json,769520,THE MIDDLEBY CORPORATION
CIK0001140215.json,1140215,"REED’S, INC."
CIK0001114448.json,1114448,Novartis AG
CIK0001470205.json,1470205,"County Bancorp, Inc."
CIK0001508655.json,0001508655,
CIK0001828650.json,1828650,Long Mall Internet Technology Co Ltd
CIK0001023459.json,1023459,"Simulations Plus, Inc."
CIK0001635484.json,1635484,CINCINNATI BANCORP
CIK0001340122.json,1340122,"Calumet Specialty Products Partners, L.P."
CIK0001499620.json,1499620,TAL Education Group
CIK0001557644.json,1557644,"GREENWOOD HALL, INC."
CIK0001636302.json,0001636302,
CIK0001861795.json,1861795,Definitive Healthcare Corp.
CIK0000704440.json,704440,"KORU MEDICAL SYSTEMS, INC."
CIK0001412090.json,1412090,"BTHC XV, INC."
CIK0001028215.json,1028215,KMG CHEMICALS INC
CIK0001518205.json,1518205,INFINITY CROSS BORDER ACQUISITION CORP
CIK0000722572.json,722572,FRANKLIN WIRELESS CORP.
CIK0000354963.json,354963,SHENANDOAH TELECOMMUNICATIONS COMPANY
CIK0000883107.json,883107,Nanophase Technologies Corporation
CIK0001605931.json,1605931,UNIVERSAL POWER INDUSTRY CORP
CIK0001415305.json,1415305,FIRST LIBERTY POWER CORP
CIK0001571776.json,1571776,CHERRY HILL MORTGAGE INVESTMENT CORPORATION
CIK0001438882.json,1438882,SILLENGER EXPLORATION CORP.
CIK0001037949.json,1037949,QWEST COMMUNICATIONS INTERNATIONAL INC
CIK0000811596.json,811596,KAISER ALUMINUM CORPORATION
CIK0001459241.json,1459241,"GLOBAL INCOME TRUST, INC."
CIK0000877890.json,877890,"CITRIX SYSTEMS, INC."
CIK0001518985.json,1518985,"WEST TEXAS RESOURCES, INC."
CIK0001454189.json,1454189,"AUSPEX PHARMACEUTICALS, INC."
CIK0001645155.json,1645155,"Webstar Technology Group, Inc."
CIK0000792641.json,792641,BIO REFERENCE LABORATORIES INC
CIK0001377178.json,1377178,"Ridgewood Energy U Fund, LLC"
CIK0001696898.json,1696898,Chee Corp.
CIK0001349929.json,1349929,"VYANT BIO, INC."
CIK0000934739.json,934739,WELLS FINANCIAL CORP
CIK0001635607.json,1635607,"SCOR INTERNATIONAL FOODS, INC."
CIK0001596967.json,1596967,Moelis & Co
CIK0001063494.json,1063494,"KBW, INC."
CIK0001435530.json,1435530,"CHINA POLYPEPTIDE GROUP, INC."
CIK0001846235.json,1846235,INTERNATIONAL MEDIA ACQUISITION CORP.
CIK0001013796.json,1013796,TIB FINANCIAL CORP.
CIK0001851909.json,1851909,COMPASS DIGITAL ACQUISITION CORP.
CIK0001069563.json,1069563,DEFENSE INDUSTRIES INTERNATIONAL INC
CIK0001088825.json,1088825,TIVO INC
CIK0001109153.json,1109153,"TRISTAR WELLNESS SOLUTIONS, INC."
CIK0001294662.json,1294662,KIMBER RESOURCES INC.
CIK0000925981.json,0000925981,
CIK0001822877.json,1822877,Vy Global Growth
CIK0000741375.json,,
CIK0001001601.json,1001601,"MGT CAPITAL INVESTMENTS, INC."
CIK0001755237.json,1755237,"CYCLERION THERAPEUTICS, INC."
CIK0001731176.json,1731176,TOTTENHAM ACQUISITION I LTD
CIK0000853566.json,853566,BOSTON CAPITAL TAX CREDIT FUND II LTD PARTNERSHIP
CIK0001813783.json,1813783,VISION MARINE TECHNOLOGIES INC.
CIK0000065011.json,65011,"Hawkeye Acquisition, Inc."
CIK0001376339.json,1376339,"MIMEDX GROUP, INC."
CIK0001816581.json,1816581,"Ouster, Inc."
CIK0000101462.json,101462,UNITED REFINING CO
CIK0001410384.json,1410384,"Q2 Holdings, Inc."
CIK0001158449.json,1158449,"ADVANCE AUTO PARTS, INC."
CIK0001667161.json,1667161,"Randolph Bancorp, Inc."
CIK0001593773.json,1593773,KANGE CORP.
CIK0000796317.json,796317,ALLIANCE FINANCIAL CORP /NY/
CIK0001327273.json,1327273,"Lyra Therapeutics, Inc."
CIK0001586988.json,1586988,CSA HOLDINGS INC.
CIK0000890547.json,890547,REVLON CONSUMER PRODUCTS CORP
CIK0001518069.json,0001518069,
CIK0000004447.json,4447,HESS CORPORATION
CIK0000882829.json,882829,STATER BROS HOLDINGS INC
CIK0000076282.json,76282,Park-Ohio Holdings Corp
CIK0001068237.json,1068237,GLOBAL DIVERSIFIED FUTURES FUND L.P.
